match_id,round,team_id,opponent_team_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,height,hitWoodwork,interceptionWon,jerseyNumber,keyPass,lastManTackle,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
12437624,1,2831,2814,7,2,21,319,19,9,2,2,5,2,0,7,47,38,0,0,0.98511103,0.8006,15,1,1,0.811,1,3810,1,8,431,11,0,1,3,0,0,0,0,0,122,0,2,2,6,18,18,22,2,49,6,387,9,577,7,13
12437624,1,2814,2831,7,0,16,390,9,19,0,0,3,13,0,7,38,47,0,0,0.31998914,0.6635,8,0,0,-0.8561,0,3636,0,6,344,8,0,2,5,0,0,0,0,0,127,0,0,0,5,15,4,17,0,42,1,479,12,629,15,2
12437612,1,2828,2817,5,0,20,243,9,13,3,2,1,9,0,5,42,50,0,1,1.27365619,1.0126,11,1,1,0.5255,0,4213,0,6,370,6,0,2,6,0,1,0,0,0,118,0,2,4,3,19,15,14,0,52,7,315,19,497,12,6
12437612,1,2817,2828,6,0,30,499,13,9,4,3,6,6,1,11,50,42,0,1,1.31751914,3.2202,13,1,2,-0.0858,0,4006,0,4,331,15,0,6,2,0,0,0,0,1,121,0,0,1,6,12,17,16,0,50,1,578,14,744,10,9
12437615,1,2824,2818,7,0,28,359,21,14,0,2,2,6,1,13,58,54,1,2,0.6328306,1.0842,14,0,1,-1.0078,1,4150,0,3,354,6,0,4,4,0,0,0,0,0,153,0,1,2,5,17,11,30,0,45,0,445,13,653,21,6
12437615,1,2818,2824,3,0,10,151,14,21,1,2,3,6,0,8,54,58,0,0,0.55275308,1.109,21,2,2,-0.3916,0,3985,0,7,332,6,0,5,2,0,0,0,0,0,127,0,2,3,4,37,11,12,0,50,3,236,18,423,14,6
12437617,1,2821,2885,3,0,23,471,6,12,2,1,0,4,0,8,33,58,0,1,1.01321171,0.8305,8,2,2,-0.0228,0,4146,0,11,322,5,0,4,3,0,0,0,0,0,133,0,1,1,2,21,15,13,0,44,4,551,18,754,22,6
12437617,1,2885,2821,6,2,26,218,12,6,2,3,3,6,0,8,58,33,0,0,0.86094696,1.6044,23,1,1,-0.2629,0,3989,0,8,370,7,1,2,0,0,0,0,0,0,135,0,1,2,5,11,14,19,2,72,3,299,17,473,6,4
12499255,1,2705,2729,3,0,14,180,23,16,0,0,6,4,0,6,56,57,0,0,0.2916722,0.4663,16,0,0,0.144,1,4622,0,4,732,7,0,2,3,0,0,0,0,0,142,0,1,1,3,21,14,21,0,40,4,260,17,441,18,6
12499255,1,2729,2705,1,1,25,341,16,23,0,0,3,6,0,11,57,56,0,0,0.3700922,0.3358,19,0,0,0.1724,0,4379,0,8,843,5,0,1,6,0,0,0,0,0,148,1,2,2,2,17,10,13,1,69,1,442,14,615,16,4
