match_number,team,opponent,RESULT,Accurate passes,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Dispossessed,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,High claims,Hit woodwork,Interceptions,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards,Aerial duels_won,Aerial duels_lost,Crosses_won,Crosses_lost,Dribbles_won,Dribbles_lost,Final third phase_won,Final third phase_lost,Ground duels_won,Ground duels_lost,Long balls_won,Long balls_lost,REFEREE_Andy Madley,REFEREE_Anthony Taylor,REFEREE_Chris Kavanagh,REFEREE_Craig Pawson,REFEREE_Darren Bond,REFEREE_Darren England,REFEREE_David Coote,REFEREE_Jarred Gillett,REFEREE_John Brooks,REFEREE_Joshua Smith,REFEREE_Lewis Smith,REFEREE_Michael Oliver,REFEREE_Michael Salisbury,REFEREE_Peter Bankes,REFEREE_Robert Jones,REFEREE_Samuel Allison,REFEREE_Samuel Barrott,REFEREE_Simon Hooper,REFEREE_Stuart Attwell,REFEREE_Thomas Bramall,REFEREE_Tim Robinson,REFEREE_Tony Harrington
1,man-utd,fulham,1–0,408,0.55,4.0,4.0,,1.0,2,20,7,13,0.5,,0.0,2.43,46,3.0,12,10,6,2.0,0.92,2.0,0,19,3.0,482,,0.0,65,,7,7,5,7,21,0.67,1.0,15,2.0,14,21,22,2.0,19,16,3,15,8,11,114,33,39,43,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,fulham,man-utd,1–0,306,0.45,0.0,0.0,,0.0,4,19,8,9,0.5,,2.0,0.44,40,4.0,10,11,10,4.0,1.07,0.0,0,9,1.0,384,,1.0,61,,6,4,2,4,24,0.71,0.0,15,4.0,10,24,22,3.0,16,19,6,15,8,12,57,30,43,39,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,ipswich,liverpool,0–2,272,0.38,0.0,0.0,0.0,,3,28,2,4,0.53,,0.0,0.45,41,2.0,9,17,6,3.0,0.35,1.0,0,9,5.0,347,,,46,,5,2,2,2,20,0.5,0.0,14,3.0,7,20,17,3.0,11,18,2,6,3,5,54,39,40,28,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,liverpool,ipswich,0–2,492,0.62,6.0,4.0,2.0,,7,16,10,9,0.47,,1.0,2.65,47,2.0,18,8,4,2.0,0.24,0.0,0,5,0.0,570,,,45,,12,6,5,6,9,0.44,4.0,24,2.0,18,9,50,1.0,18,11,4,19,11,11,115,37,28,40,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,arsenal,wolves,2–0,357,0.53,2.0,1.0,1.0,2.0,6,15,8,9,0.5,,2.0,1.24,40,1.0,17,14,6,3.0,0.19,1.0,0,8,0.0,420,,0.0,38,,12,6,6,6,18,0.72,,18,3.0,18,18,50,2.0,17,13,3,12,9,10,94,24,41,44,17,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,wolves,arsenal,2–0,307,0.47,1.0,1.0,0.0,1.0,1,14,2,10,0.5,,0.0,0.47,56,2.0,14,17,8,4.0,-0.3,1.0,0,7,1.0,375,,2.0,42,,6,5,3,3,19,0.63,,15,4.0,9,19,18,2.0,13,17,4,10,8,8,67,26,44,41,20,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,everton,brighton,0–3,266,0.38,0.0,0.0,0.0,2.0,4,11,1,10,0.53,,1.0,0.45,69,1.0,8,8,4,2.0,-0.63,1.0,0,13,7.0,344,,0.0,52,1.0,6,4,1,3,23,0.48,,27,2.0,9,23,18,1.0,18,13,4,13,5,11,59,44,36,35,45,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,brighton,everton,0–3,492,0.62,2.0,1.0,1.0,0.0,2,19,5,11,0.47,,1.0,1.43,36,3.0,8,8,12,1.0,0.05,0.0,1,8,1.0,575,,2.0,51,0.0,9,3,5,1,21,0.62,,14,1.0,10,21,29,1.0,13,18,4,10,6,12,71,33,35,36,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,newcastle,southampton,1–0,117,0.22,1.0,0.0,1.0,1.0,2,34,3,8,0.48,0.0,,0.25,31,2.0,15,16,10,3.0,0.42,0.0,0,4,1.0,181,,0.0,39,1.0,3,0,1,0,16,0.88,,11,3.0,3,16,14,2.0,7,9,1,11,1,5,34,32,33,34,12,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,southampton,newcastle,1–0,579,0.78,3.0,3.0,0.0,0.0,11,14,12,9,0.52,1.0,,1.77,67,4.0,16,15,3,0.0,-0.37,2.0,0,3,2.0,649,,1.0,41,0.0,13,4,4,6,13,0.46,,18,0.0,19,13,48,4.0,9,7,4,26,6,7,185,37,34,33,19,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
